method,postprocessed,milp_step_size,query_type,num_relations,graph_type,problem,baseline_cost,annealing_threshold,penalty_scaling,num_iterations,optimisation_time_in_ms,access_time_in_ms,cost,normalised_cost
dpsizelinear,n/a,n/a,steinbrunn,38,CHAIN,3,351097052276033,n/a,n/a,n/a,1,n/a,354525969313219,1.0097662940060521
milp,n/a,100,steinbrunn,38,CHAIN,3,351097052276033,n/a,n/a,n/a,60143,n/a,716048692505639,2.039460849539348
annealing_quadratic,False,n/a,steinbrunn,38,CHAIN,3,351097052276033,2.55,2,1000000,406.0,2296.0,351097052276033,1.0
ikkbz,n/a,n/a,steinbrunn,38,CHAIN,4,4349619512835,n/a,n/a,n/a,0,n/a,4349619512835,1.0
dpsizelinear,n/a,n/a,steinbrunn,38,CHAIN,4,4349619512835,n/a,n/a,n/a,1,n/a,4349619512835,1.0
milp,n/a,2,steinbrunn,38,CHAIN,4,4349619512835,n/a,n/a,n/a,60030,n/a,4349682668345,1.0000145197780665
annealing_quadratic,True,n/a,steinbrunn,38,CHAIN,4,4349619512835,0,2,1000000,378.0,1920.0,4349619520888,1.0000000018514263
ikkbz,n/a,n/a,steinbrunn,38,CHAIN,5,134663535032260,n/a,n/a,n/a,0,n/a,539909238971580,4.009320257649848
dpsizelinear,n/a,n/a,steinbrunn,38,CHAIN,5,134663535032260,n/a,n/a,n/a,1,n/a,539909238971580,4.009320257649848
milp,n/a,100,steinbrunn,38,CHAIN,5,134663535032260,n/a,n/a,n/a,60103,n/a,134687233223812,1.0001759807623223
annealing_quadratic,False,n/a,steinbrunn,38,CHAIN,5,134663535032260,0,2,1000000,374.0,1946.0,134663535032260,1.0
ikkbz,n/a,n/a,steinbrunn,38,CHAIN,6,870266448791161,n/a,n/a,n/a,0,n/a,870266448791161,1.0
dpsizelinear,n/a,n/a,steinbrunn,38,CHAIN,6,870266448791161,n/a,n/a,n/a,1,n/a,870266448791161,1.0
milp,n/a,n/a,steinbrunn,38,CHAIN,6,870266448791161,n/a,n/a,n/a,0,n/a,n/a,20
annealing_quadratic,True,n/a,steinbrunn,38,CHAIN,6,870266448791161,2.55,2,1000000,374.0,2458.0,870266457174087,1.000000009632597
ikkbz,n/a,n/a,steinbrunn,38,CHAIN,7,3571625808962,n/a,n/a,n/a,0,n/a,3571625808962,1.0
dpsizelinear,n/a,n/a,steinbrunn,38,CHAIN,7,3571625808962,n/a,n/a,n/a,1,n/a,3571625808962,1.0
milp,n/a,100,steinbrunn,38,CHAIN,7,3571625808962,n/a,n/a,n/a,60074,n/a,46086961416476,12.903636573807258
annealing_quadratic,True,n/a,steinbrunn,38,CHAIN,7,3571625808962,0,2,1000000,390.0,2045.0,3572600768038,1.0002729734659084
ikkbz,n/a,n/a,steinbrunn,38,CHAIN,8,259415909253344,n/a,n/a,n/a,1,n/a,311441700812418,1.2005497338571705
dpsizelinear,n/a,n/a,steinbrunn,38,CHAIN,8,259415909253344,n/a,n/a,n/a,1,n/a,311441700812418,1.2005497338571705
milp,n/a,100,steinbrunn,38,CHAIN,8,259415909253344,n/a,n/a,n/a,60174,n/a,342205124479024,1.319137000748973
annealing_quadratic,False,n/a,steinbrunn,38,CHAIN,8,259415909253344,0,2,1000000,375.0,2251.0,259415909253344,1.0
ikkbz,n/a,n/a,steinbrunn,38,CHAIN,9,1072467553656,n/a,n/a,n/a,0,n/a,1072467553656,1.0
dpsizelinear,n/a,n/a,steinbrunn,38,CHAIN,9,1072467553656,n/a,n/a,n/a,1,n/a,1072467553656,1.0
milp,n/a,100,steinbrunn,38,CHAIN,9,1072467553656,n/a,n/a,n/a,60114,n/a,51330403851947,20
annealing_quadratic,True,n/a,steinbrunn,38,CHAIN,9,1072467553656,0,2,1000000,397.0,1974.0,1096521646384,1.0224287370242582
ikkbz,n/a,n/a,steinbrunn,42,CHAIN,0,8839452147302,n/a,n/a,n/a,1,n/a,9018153512491,1.020216339453067
dpsizelinear,n/a,n/a,steinbrunn,42,CHAIN,0,8839452147302,n/a,n/a,n/a,1,n/a,9018153512491,1.020216339453067
milp,n/a,100,steinbrunn,42,CHAIN,0,8839452147302,n/a,n/a,n/a,60053,n/a,92643557610968,10.480689987019716
annealing_quadratic,False,n/a,steinbrunn,42,CHAIN,0,8839452147302,2.55,2,1000000,402.0,2765.0,8839452147302,1.0
ikkbz,n/a,n/a,steinbrunn,42,CHAIN,1,177020242672540,n/a,n/a,n/a,1,n/a,177020242672540,1.0
dpsizelinear,n/a,n/a,steinbrunn,42,CHAIN,1,177020242672540,n/a,n/a,n/a,1,n/a,177020242672540,1.0
milp,n/a,100,steinbrunn,42,CHAIN,1,177020242672540,n/a,n/a,n/a,60090,n/a,474960804330974,2.683087522422946
annealing_quadratic,True,n/a,steinbrunn,42,CHAIN,1,177020242672540,0,2,1000000,377.0,3039.0,177020242672540,1.0
ikkbz,n/a,n/a,steinbrunn,42,CHAIN,2,128018963819723,n/a,n/a,n/a,1,n/a,130769191726526,1.021482972715479
dpsizelinear,n/a,n/a,steinbrunn,42,CHAIN,2,128018963819723,n/a,n/a,n/a,1,n/a,130769191726526,1.021482972715479
milp,n/a,100,steinbrunn,42,CHAIN,2,128018963819723,n/a,n/a,n/a,60018,n/a,448003505114661,3.49950891451943
annealing_quadratic,False,n/a,steinbrunn,42,CHAIN,2,128018963819723,0.63,2,1000000,404.0,2690.0,128018963819723,1.0
ikkbz,n/a,n/a,steinbrunn,42,CHAIN,3,34544386904786152,n/a,n/a,n/a,1,n/a,34544386904786152,1.0
dpsizelinear,n/a,n/a,steinbrunn,42,CHAIN,3,34544386904786152,n/a,n/a,n/a,1,n/a,34544386904786152,1.0
milp,n/a,n/a,steinbrunn,42,CHAIN,3,34544386904786152,n/a,n/a,n/a,0,n/a,n/a,20
annealing_quadratic,True,n/a,steinbrunn,42,CHAIN,3,34544386904786152,5.11,2,1000000,403.0,2976.0,34544417137362220,1.0000008751805656
ikkbz,n/a,n/a,steinbrunn,42,CHAIN,4,1119933380563289,n/a,n/a,n/a,1,n/a,1119933380563289,1.0
dpsizelinear,n/a,n/a,steinbrunn,42,CHAIN,4,1119933380563289,n/a,n/a,n/a,1,n/a,1119933380563289,1.0
milp,n/a,n/a,steinbrunn,42,CHAIN,4,1119933380563289,n/a,n/a,n/a,0,n/a,n/a,20
annealing_quadratic,True,n/a,steinbrunn,42,CHAIN,4,1119933380563289,0,2,1000000,380.0,2879.0,1119933380563289,1.0
ikkbz,n/a,n/a,steinbrunn,42,CHAIN,5,945140712877771,n/a,n/a,n/a,0,n/a,945140712877771,1.0
dpsizelinear,n/a,n/a,steinbrunn,42,CHAIN,5,945140712877771,n/a,n/a,n/a,1,n/a,945140712877771,1.0
milp,n/a,100,steinbrunn,42,CHAIN,5,945140712877771,n/a,n/a,n/a,60092,n/a,3307765443601096,3.499759769663915
annealing_quadratic,True,n/a,steinbrunn,42,CHAIN,5,945140712877771,0.63,2,1000000,404.0,3123.0,946910078258422,1.0018720655628766
ikkbz,n/a,n/a,steinbrunn,42,CHAIN,6,111787063843820,n/a,n/a,n/a,1,n/a,111787063843820,1.0
dpsizelinear,n/a,n/a,steinbrunn,42,CHAIN,6,111787063843820,n/a,n/a,n/a,1,n/a,111787063843820,1.0
milp,n/a,100,steinbrunn,42,CHAIN,6,111787063843820,n/a,n/a,n/a,60119,n/a,381185972392029,3.4099291929215685
annealing_quadratic,False,n/a,steinbrunn,42,CHAIN,6,111787063843820,0,2,1000000,399.0,2520.0,111842794076281,1.0004985391917876
ikkbz,n/a,n/a,steinbrunn,42,CHAIN,7,15295229587910566,n/a,n/a,n/a,1,n/a,55265673339969208,3.6132620973307588
dpsizelinear,n/a,n/a,steinbrunn,42,CHAIN,7,15295229587910566,n/a,n/a,n/a,1,n/a,55265673339969208,3.6132620973307588
milp,n/a,n/a,steinbrunn,42,CHAIN,7,15295229587910566,n/a,n/a,n/a,0,n/a,n/a,20
annealing_quadratic,False,n/a,steinbrunn,42,CHAIN,7,15295229587910566,0,2,1000000,399.0,2526.0,15295229587910566,1.0
ikkbz,n/a,n/a,steinbrunn,42,CHAIN,8,1013239127026659,n/a,n/a,n/a,1,n/a,1435269168420451,1.4165157366477106
dpsizelinear,n/a,n/a,steinbrunn,42,CHAIN,8,1013239127026659,n/a,n/a,n/a,1,n/a,1435269168420451,1.4165157366477106
milp,n/a,100,steinbrunn,42,CHAIN,8,1013239127026659,n/a,n/a,n/a,60037,n/a,8033152866180004,7.9281905444702065
annealing_quadratic,False,n/a,steinbrunn,42,CHAIN,8,1013239127026659,0.63,2,1000000,397.0,3187.0,1013239127026659,1.0
ikkbz,n/a,n/a,steinbrunn,42,CHAIN,9,127599796675553,n/a,n/a,n/a,1,n/a,1066599997344238,8.358947468045528
dpsizelinear,n/a,n/a,steinbrunn,42,CHAIN,9,127599796675553,n/a,n/a,n/a,1,n/a,1066599997344238,8.358947468045528
milp,n/a,100,steinbrunn,42,CHAIN,9,127599796675553,n/a,n/a,n/a,60034,n/a,1066629811502808,8.359181121698173
annealing_quadratic,False,n/a,steinbrunn,42,CHAIN,9,127599796675553,0,2,1000000,378.0,2920.0,127599796675553,1.0
ikkbz,n/a,n/a,steinbrunn,46,CHAIN,0,82553617235478,n/a,n/a,n/a,1,n/a,82553617235478,1.0
dpsizelinear,n/a,n/a,steinbrunn,46,CHAIN,0,82553617235478,n/a,n/a,n/a,2,n/a,82553617235478,1.0
milp,n/a,100,steinbrunn,46,CHAIN,0,82553617235478,n/a,n/a,n/a,60087,n/a,90673353595735,1.0983571239173695
annealing_quadratic,True,n/a,steinbrunn,46,CHAIN,0,82553617235478,0.63,2,1000000,359.0,4178.0,84998390661348,1.0296143707294674
ikkbz,n/a,n/a,steinbrunn,46,CHAIN,1,1444310952537298,n/a,n/a,n/a,1,n/a,3095477388139993,2.143220878234014
dpsizelinear,n/a,n/a,steinbrunn,46,CHAIN,1,1444310952537298,n/a,n/a,n/a,3,n/a,3095477388139993,2.143220878234014
milp,n/a,100,steinbrunn,46,CHAIN,1,1444310952537298,n/a,n/a,n/a,60068,n/a,2579893529221867,1.786245215886254
annealing_quadratic,False,n/a,steinbrunn,46,CHAIN,1,1444310952537298,0,2,1000000,376.0,3279.0,1444310952537298,1.0
ikkbz,n/a,n/a,steinbrunn,46,CHAIN,2,8743832577892034,n/a,n/a,n/a,1,n/a,8743832577892034,1.0
dpsizelinear,n/a,n/a,steinbrunn,46,CHAIN,2,8743832577892034,n/a,n/a,n/a,2,n/a,8743832577892034,1.0
milp,n/a,100,steinbrunn,46,CHAIN,2,8743832577892034,n/a,n/a,n/a,60014,n/a,10517375135388386,1.20283354486688
annealing_quadratic,True,n/a,steinbrunn,46,CHAIN,2,8743832577892034,0.63,2,1000000,338.0,3979.0,8743832578392803,1.000000000057271
ikkbz,n/a,n/a,steinbrunn,46,CHAIN,3,1171248092796,n/a,n/a,n/a,1,n/a,1171248092796,1.0
dpsizelinear,n/a,n/a,steinbrunn,46,CHAIN,3,1171248092796,n/a,n/a,n/a,2,n/a,1171248092796,1.0
milp,n/a,100,steinbrunn,46,CHAIN,3,1171248092796,n/a,n/a,n/a,60068,n/a,222039518010301,20
annealing_quadratic,True,n/a,steinbrunn,46,CHAIN,3,1171248092796,0,2,1000000,380.0,3269.0,1171248092796,1.0
ikkbz,n/a,n/a,steinbrunn,46,CHAIN,4,6119764095574613,n/a,n/a,n/a,1,n/a,6119764095574613,1.0
dpsizelinear,n/a,n/a,steinbrunn,46,CHAIN,4,6119764095574613,n/a,n/a,n/a,2,n/a,6119764095574613,1.0
milp,n/a,n/a,steinbrunn,46,CHAIN,4,6119764095574613,n/a,n/a,n/a,0,n/a,n/a,20
annealing_quadratic,True,n/a,steinbrunn,46,CHAIN,4,6119764095574613,5.11,2,1000000,349.0,4030.9999999999995,6460934354752469,1.0557489232999302
ikkbz,n/a,n/a,steinbrunn,46,CHAIN,5,958206279966841088,n/a,n/a,n/a,1,n/a,3431394986895792640,3.5810608411108897
dpsizelinear,n/a,n/a,steinbrunn,46,CHAIN,5,958206279966841088,n/a,n/a,n/a,2,n/a,3431394986895792640,3.5810608411108897
milp,n/a,n/a,steinbrunn,46,CHAIN,5,958206279966841088,n/a,n/a,n/a,0,n/a,n/a,20
annealing_quadratic,False,n/a,steinbrunn,46,CHAIN,5,958206279966841088,2.55,2,1000000,368.0,4616.0,958206279966841088,1.0
ikkbz,n/a,n/a,steinbrunn,46,CHAIN,6,174716672654712,n/a,n/a,n/a,1,n/a,220294001853366,1.2608642238095233
dpsizelinear,n/a,n/a,steinbrunn,46,CHAIN,6,174716672654712,n/a,n/a,n/a,2,n/a,220294001853366,1.2608642238095233
milp,n/a,100,steinbrunn,46,CHAIN,6,174716672654712,n/a,n/a,n/a,60028,n/a,190500123773507,1.0903374067224108
annealing_quadratic,False,n/a,steinbrunn,46,CHAIN,6,174716672654712,0,2,1000000,377.0,3683.0,174716672654712,1.0
ikkbz,n/a,n/a,steinbrunn,46,CHAIN,7,173973994384509,n/a,n/a,n/a,1,n/a,173973994384509,1.0
dpsizelinear,n/a,n/a,steinbrunn,46,CHAIN,7,173973994384509,n/a,n/a,n/a,2,n/a,173973994384509,1.0
milp,n/a,100,steinbrunn,46,CHAIN,7,173973994384509,n/a,n/a,n/a,60031,n/a,291249110507079,1.674095668938739
annealing_quadratic,True,n/a,steinbrunn,46,CHAIN,7,173973994384509,0.63,2,1000000,344.0,4464.0,193052645226132,1.1096638087153203
ikkbz,n/a,n/a,steinbrunn,46,CHAIN,8,71473115939,n/a,n/a,n/a,1,n/a,71473115939,1.0
dpsizelinear,n/a,n/a,steinbrunn,46,CHAIN,8,71473115939,n/a,n/a,n/a,2,n/a,71473115939,1.0
milp,n/a,10,steinbrunn,46,CHAIN,8,71473115939,n/a,n/a,n/a,60030,n/a,71952666145,1.0067095186728572
annealing_quadratic,True,n/a,steinbrunn,46,CHAIN,8,71473115939,0,2,1000000,374.0,3271.0,71473225350,1.0000015307993582
ikkbz,n/a,n/a,steinbrunn,46,CHAIN,9,23611877289468362752,n/a,n/a,n/a,1,n/a,68494615585068580864,2.900854292327672
dpsizelinear,n/a,n/a,steinbrunn,46,CHAIN,9,23611877289468362752,n/a,n/a,n/a,2,n/a,68494615585068580864,2.900854292327672
milp,n/a,n/a,steinbrunn,46,CHAIN,9,23611877289468362752,n/a,n/a,n/a,0,n/a,n/a,20
annealing_quadratic,False,n/a,steinbrunn,46,CHAIN,9,23611877289468362752,0,2,1000000,404.0,3284.0,23611877289468362752,1.0
ikkbz,n/a,n/a,steinbrunn,50,CHAIN,0,45753650781928,n/a,n/a,n/a,1,n/a,166621067374987,3.641699941478764
dpsizelinear,n/a,n/a,steinbrunn,50,CHAIN,0,45753650781928,n/a,n/a,n/a,2,n/a,166621067374987,3.641699941478764
milp,n/a,100,steinbrunn,50,CHAIN,0,45753650781928,n/a,n/a,n/a,60007,n/a,397962992709224,8.69795056586858
annealing_quadratic,False,n/a,steinbrunn,50,CHAIN,0,45753650781928,5.11,2,1000000,366.0,5813.0,45753650781928,1.0
ikkbz,n/a,n/a,steinbrunn,50,CHAIN,1,4332931019808914293129216,n/a,n/a,n/a,1,n/a,4332931019808919661838336,1.0000000000000013
dpsizelinear,n/a,n/a,steinbrunn,50,CHAIN,1,4332931019808914293129216,n/a,n/a,n/a,2,n/a,4332931019808915366871040,1.0000000000000002
milp,n/a,n/a,steinbrunn,50,CHAIN,1,4332931019808914293129216,n/a,n/a,n/a,0,n/a,n/a,20
annealing_quadratic,True,n/a,steinbrunn,50,CHAIN,1,4332931019808914293129216,0.63,2,1000000,347.0,5433.0,4332931019808914293129216,1.0
ikkbz,n/a,n/a,steinbrunn,50,CHAIN,2,542670673200482,n/a,n/a,n/a,1,n/a,542670673200482,1.0
dpsizelinear,n/a,n/a,steinbrunn,50,CHAIN,2,542670673200482,n/a,n/a,n/a,2,n/a,542670673200482,1.0
milp,n/a,100,steinbrunn,50,CHAIN,2,542670673200482,n/a,n/a,n/a,60116,n/a,919323250564919,1.694072106648166
annealing_quadratic,True,n/a,steinbrunn,50,CHAIN,2,542670673200482,2.55,2,1000000,360.0,4954.0,542670673200482,1.0
ikkbz,n/a,n/a,steinbrunn,50,CHAIN,3,64497272597724558000128,n/a,n/a,n/a,1,n/a,64497272597724558000128,1.0
dpsizelinear,n/a,n/a,steinbrunn,50,CHAIN,3,64497272597724558000128,n/a,n/a,n/a,2,n/a,64497272597724558000128,1.0
milp,n/a,n/a,steinbrunn,50,CHAIN,3,64497272597724558000128,n/a,n/a,n/a,0,n/a,n/a,20
annealing_quadratic,True,n/a,steinbrunn,50,CHAIN,3,64497272597724558000128,2.55,2,1000000,364.0,4770.0,64497272597725203922944,1.00000000000001
ikkbz,n/a,n/a,steinbrunn,50,CHAIN,4,373479392641,n/a,n/a,n/a,1,n/a,373479392641,1.0
dpsizelinear,n/a,n/a,steinbrunn,50,CHAIN,4,373479392641,n/a,n/a,n/a,2,n/a,373479392641,1.0
milp,n/a,100,steinbrunn,50,CHAIN,4,373479392641,n/a,n/a,n/a,60022,n/a,37887619538864,20
annealing_quadratic,True,n/a,steinbrunn,50,CHAIN,4,373479392641,0.63,2,1000000,363.0,4795.0,373479392641,1.0
ikkbz,n/a,n/a,steinbrunn,50,CHAIN,5,261524635833211456,n/a,n/a,n/a,1,n/a,477727835808213120,1.8267029960148238
dpsizelinear,n/a,n/a,steinbrunn,50,CHAIN,5,261524635833211456,n/a,n/a,n/a,2,n/a,477727835808213120,1.8267029960148238
milp,n/a,n/a,steinbrunn,50,CHAIN,5,261524635833211456,n/a,n/a,n/a,0,n/a,n/a,20
annealing_quadratic,False,n/a,steinbrunn,50,CHAIN,5,261524635833211456,5.11,2,1000000,339.0,5610.0,261524635833211456,1.0
ikkbz,n/a,n/a,steinbrunn,50,CHAIN,6,24710839829589560,n/a,n/a,n/a,1,n/a,24728366824058720,1.0007092836419171
dpsizelinear,n/a,n/a,steinbrunn,50,CHAIN,6,24710839829589560,n/a,n/a,n/a,2,n/a,24728366824058720,1.0007092836419171
milp,n/a,n/a,steinbrunn,50,CHAIN,6,24710839829589560,n/a,n/a,n/a,0,n/a,n/a,20
annealing_quadratic,False,n/a,steinbrunn,50,CHAIN,6,24710839829589560,2.55,2,1000000,343.0,4912.0,24710839829589560,1.0
ikkbz,n/a,n/a,steinbrunn,50,CHAIN,7,14450486643298762,n/a,n/a,n/a,1,n/a,14450486643298762,1.0
dpsizelinear,n/a,n/a,steinbrunn,50,CHAIN,7,14450486643298762,n/a,n/a,n/a,2,n/a,14450486643298762,1.0
milp,n/a,n/a,steinbrunn,50,CHAIN,7,14450486643298762,n/a,n/a,n/a,0,n/a,n/a,20
annealing_quadratic,True,n/a,steinbrunn,50,CHAIN,7,14450486643298762,0.63,2,1000000,355.0,4595.0,14450486643298762,1.0
ikkbz,n/a,n/a,steinbrunn,50,CHAIN,8,1355774452386773860352,n/a,n/a,n/a,1,n/a,8686667601698957033472,6.407162774314347
dpsizelinear,n/a,n/a,steinbrunn,50,CHAIN,8,1355774452386773860352,n/a,n/a,n/a,2,n/a,8686667601698954936320,6.4071627743143456
milp,n/a,n/a,steinbrunn,50,CHAIN,8,1355774452386773860352,n/a,n/a,n/a,0,n/a,n/a,20
annealing_quadratic,False,n/a,steinbrunn,50,CHAIN,8,1355774452386773860352,2.55,2,1000000,345.0,4780.0,1355774452386773860352,1.0
ikkbz,n/a,n/a,steinbrunn,50,CHAIN,9,52590116515953080532992,n/a,n/a,n/a,1,n/a,52590116515953139253248,1.000000000000001
dpsizelinear,n/a,n/a,steinbrunn,50,CHAIN,9,52590116515953080532992,n/a,n/a,n/a,2,n/a,52590116515953080532992,1.0
milp,n/a,n/a,steinbrunn,50,CHAIN,9,52590116515953080532992,n/a,n/a,n/a,0,n/a,n/a,20
annealing_quadratic,True,n/a,steinbrunn,50,CHAIN,9,52590116515953080532992,5.11,2,1000000,336.0,5271.0,52590116515953080532992,1.0
ikkbz,n/a,n/a,steinbrunn,18,STAR,0,696,n/a,n/a,n/a,0,n/a,696,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,STAR,0,696,n/a,n/a,n/a,71,n/a,696,1.0
milp,n/a,2,steinbrunn,18,STAR,0,696,n/a,n/a,n/a,963,n/a,696,1.0
annealing_quadratic,False,n/a,steinbrunn,18,STAR,0,696,0.63,2,1000000,217.0,553.0,724,1.0402298850574712
ikkbz,n/a,n/a,steinbrunn,18,STAR,1,410,n/a,n/a,n/a,0,n/a,410,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,STAR,1,410,n/a,n/a,n/a,86,n/a,410,1.0
milp,n/a,10,steinbrunn,18,STAR,1,410,n/a,n/a,n/a,225,n/a,423,1.0317073170731708
annealing_quadratic,False,n/a,steinbrunn,18,STAR,1,410,0,2,1000000,216.0,461.0,428,1.0439024390243903
ikkbz,n/a,n/a,steinbrunn,18,STAR,2,207187,n/a,n/a,n/a,0,n/a,207187,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,STAR,2,207187,n/a,n/a,n/a,116,n/a,207187,1.0
milp,n/a,2,steinbrunn,18,STAR,2,207187,n/a,n/a,n/a,270,n/a,207187,1.0
annealing_quadratic,False,n/a,steinbrunn,18,STAR,2,207187,0.63,2,1000000,215.0,474.0,207302,1.000555054129844
ikkbz,n/a,n/a,steinbrunn,18,STAR,3,19990778,n/a,n/a,n/a,0,n/a,19990778,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,STAR,3,19990778,n/a,n/a,n/a,118,n/a,19990778,1.0
milp,n/a,2,steinbrunn,18,STAR,3,19990778,n/a,n/a,n/a,178,n/a,19990778,1.0
annealing_quadratic,False,n/a,steinbrunn,18,STAR,3,19990778,0.63,2,1000000,215.0,474.0,19990907,1.000006452975467
ikkbz,n/a,n/a,steinbrunn,18,STAR,4,547542363,n/a,n/a,n/a,0,n/a,547542363,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,STAR,4,547542363,n/a,n/a,n/a,121,n/a,547542363,1.0
milp,n/a,2,steinbrunn,18,STAR,4,547542363,n/a,n/a,n/a,208,n/a,547542363,1.0
annealing_quadratic,False,n/a,steinbrunn,18,STAR,4,547542363,0,2,1000000,215.0,471.0,547542576,1.000000389010996
ikkbz,n/a,n/a,steinbrunn,18,STAR,5,7951,n/a,n/a,n/a,0,n/a,7951,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,STAR,5,7951,n/a,n/a,n/a,143,n/a,7951,1.0
milp,n/a,2,steinbrunn,18,STAR,5,7951,n/a,n/a,n/a,1514,n/a,7953,1.000251540686706
annealing_quadratic,False,n/a,steinbrunn,18,STAR,5,7951,0,2,1000000,216.0,476.0,8055,1.013080115708716
ikkbz,n/a,n/a,steinbrunn,18,STAR,6,12781,n/a,n/a,n/a,0,n/a,12781,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,STAR,6,12781,n/a,n/a,n/a,73,n/a,12781,1.0
milp,n/a,100,steinbrunn,18,STAR,6,12781,n/a,n/a,n/a,233,n/a,12807,1.0020342696189657
annealing_quadratic,False,n/a,steinbrunn,18,STAR,6,12781,2.55,2,1000000,217.0,488.0,12951,1.0133009936624677
ikkbz,n/a,n/a,steinbrunn,18,STAR,7,4650385378699201,n/a,n/a,n/a,0,n/a,4650385378699217,1.0000000000000033
dpsizelinear,n/a,n/a,steinbrunn,18,STAR,7,4650385378699201,n/a,n/a,n/a,126,n/a,4650385378699201,1.0
milp,n/a,100,steinbrunn,18,STAR,7,4650385378699201,n/a,n/a,n/a,121,n/a,4650385378699207,1.0000000000000013
annealing_quadratic,False,n/a,steinbrunn,18,STAR,7,4650385378699201,2.55,2,1000000,215.0,484.0,4650385379222817,1.0000000001125962
ikkbz,n/a,n/a,steinbrunn,18,STAR,8,167705621795,n/a,n/a,n/a,0,n/a,167705621795,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,STAR,8,167705621795,n/a,n/a,n/a,73,n/a,167705621795,1.0
milp,n/a,2,steinbrunn,18,STAR,8,167705621795,n/a,n/a,n/a,241,n/a,167705621902,1.0000000006380227
annealing_quadratic,True,n/a,steinbrunn,18,STAR,8,167705621795,0,2,1000000,217.0,478.0,167705621821,1.0000000001550335
ikkbz,n/a,n/a,steinbrunn,18,STAR,9,841,n/a,n/a,n/a,0,n/a,841,1.0
dpsizelinear,n/a,n/a,steinbrunn,18,STAR,9,841,n/a,n/a,n/a,71,n/a,841,1.0
milp,n/a,2,steinbrunn,18,STAR,9,841,n/a,n/a,n/a,555,n/a,841,1.0
annealing_quadratic,False,n/a,steinbrunn,18,STAR,9,841,0.63,2,1000000,215.0,474.0,849,1.009512485136742
ikkbz,n/a,n/a,steinbrunn,22,STAR,0,2145970465,n/a,n/a,n/a,0,n/a,2145970465,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,STAR,0,2145970465,n/a,n/a,n/a,2210,n/a,2145970465,1.0
milp,n/a,2,steinbrunn,22,STAR,0,2145970465,n/a,n/a,n/a,301,n/a,2145970465,1.0
annealing_quadratic,False,n/a,steinbrunn,22,STAR,0,2145970465,0,2,1000000,215.0,563.0,2145970565,1.0000000465989638
ikkbz,n/a,n/a,steinbrunn,22,STAR,1,3327,n/a,n/a,n/a,0,n/a,3370,1.0129245566576495
dpsizelinear,n/a,n/a,steinbrunn,22,STAR,1,3327,n/a,n/a,n/a,2104,n/a,3370,1.0129245566576495
milp,n/a,2,steinbrunn,22,STAR,1,3327,n/a,n/a,n/a,1709,n/a,3327,1.0
annealing_quadratic,False,n/a,steinbrunn,22,STAR,1,3327,0,2,1000000,215.0,562.0,3387,1.018034265103697
ikkbz,n/a,n/a,steinbrunn,22,STAR,2,1721822044,n/a,n/a,n/a,0,n/a,1721822044,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,STAR,2,1721822044,n/a,n/a,n/a,2676,n/a,1721822044,1.0
milp,n/a,2,steinbrunn,22,STAR,2,1721822044,n/a,n/a,n/a,509,n/a,1721822044,1.0
annealing_quadratic,False,n/a,steinbrunn,22,STAR,2,1721822044,0,2,1000000,215.0,550.0,1721822165,1.0000000702743936
ikkbz,n/a,n/a,steinbrunn,22,STAR,3,6200269614919344010801489443616968638734532608,n/a,n/a,n/a,0,n/a,6200269614919344010801489443616968638734532608,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,STAR,3,6200269614919344010801489443616968638734532608,n/a,n/a,n/a,1922,n/a,6200269614919344010801489443616968638734532608,1.0
milp,n/a,n/a,steinbrunn,22,STAR,3,6200269614919344010801489443616968638734532608,n/a,n/a,n/a,0,n/a,n/a,20
annealing_quadratic,False,n/a,steinbrunn,22,STAR,3,6200269614919344010801489443616968638734532608,0,2,1000000,215.0,560.0,6200269869751230937279541482336793692676816896,1.00000004110013
ikkbz,n/a,n/a,steinbrunn,22,STAR,4,715303940250691,n/a,n/a,n/a,0,n/a,715303940250691,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,STAR,4,715303940250691,n/a,n/a,n/a,3194,n/a,715303940250691,1.0
milp,n/a,100,steinbrunn,22,STAR,4,715303940250691,n/a,n/a,n/a,175,n/a,715303940251237,1.0000000000007634
annealing_quadratic,True,n/a,steinbrunn,22,STAR,4,715303940250691,0,2,1000000,217.0,568.0,715303940271507,1.000000000029101
ikkbz,n/a,n/a,steinbrunn,22,STAR,5,1051,n/a,n/a,n/a,0,n/a,1051,1.0
dpsizelinear,n/a,n/a,steinbrunn,22,STAR,5,1051,n/a,n/a,n/a,3389,n/a,1051,1.0
milp,n/a,2,steinbrunn,22,STAR,5,1051,n/a,n/a,n/a,60042,n/a,1162,1.1056137012369172
annealing_quadratic,False,n/a,steinbrunn,22,STAR,5,1051,0,2,1000000,216.0,554.0,1061,1.0095147478591817
